url_reels,gambar_thumbnail,kategori_id,label_nama,label_warna,judul_reels
https://www.instagram.com/reel/Db20KeezyAH/,img-testimoni/testi-1.png,dokter mata,Kata Dokter,blue-600,Video Edukasi Produk AFC & Pengalaman Konsumen Tumor Mata
https://www.instagram.com/reel/Db2P8bezTDI,img-testimoni/testi-2.png,pasien tulang,Kisah Nyata,amber-500,Pengalaman Pasien sembuh Patah Tulang
https://www.instagram.com/reel/Db2OeQIzN8F,img-testimoni/testi-3.png,pasien hipertensi,Hipertensi,pink-500,Pengalaman Penggunaan Produk AFC Pasien Hipertensi
https://www.instagram.com/reel/DdMH3b3zhJ0/?stkn=MTdodDl4YXI2eXR0ZA==,img-testimoni/testi-4.png,diabetes hipertensi,Penyakit Metabolik,green-600,Pemulihan Pasien Diabetes, Kolesterol, dan Darah Tinggi
